,Title,IMDB id,Year,Rating,Genre,Top_cast
256,Qayamat Se Qayamat Tak,tt0095936,1988,7.4,"Drama, Musical, Romance","Aamir Khan, Juhi Chawla, Goga Kapoor"
257,Boss,tt2571140,2013,5.1,"Action, Comedy, Crime, Drama","Akshay Kumar, Shiv Panditt, Mithun Chakraborty"
258,Fukrey,tt26445483,2013,6.9,"Comedy, Drama, Romance","Pulkit Samrat, Varun Sharma, Ali Fazal"
259,New York,tt1328634,2009,6.8,"Crime, Drama, Thriller","John Abraham, Katrina Kaif, Neil Nitin Mukesh"
260,Mardaani,tt3495000,2014,7.3,"Action, Crime, Drama, Thriller","Rani Mukerji, Jisshu Sengupta, Anant Vidhaat"
261,Billu,tt1230448,2009,6.4,"Comedy, Drama","Irrfan Khan, Lara Dutta, Om Puri"
262,Karthik Calling Karthik,tt1373156,2010,7.1,"Drama, Mystery, Romance, Thriller","Farhan Akhtar, Deepika Padukone, Ram Kapoor  "
263,Bachna Ae Haseeno,tt1182972,2008,6.2,"Comedy, Drama, Romance","Ranbir Kapoor, Deepika Padukone, Bipasha Basu  "
264,Karwaan,tt7919680,2018,7.6,"Adventure, Comedy, Drama","Irrfan Khan, Dulquer Salmaan, Mithila Palkar  "
265,Gunda,tt0497915,1998,7.3,"Action, Comedy, Crime ","Mithum Chakraborty, Mukesh Rishi, Mohan Joshi"
266,Ishqiya,tt12718412,2020,8.0,"Drama, Romance","Mehrunisa Iqbal, Hania Aamir, Feroze Khan  "
267,Gadar: Ek Prem Katha,tt0284137,2001,7.3,"Action, Drama, Romance"," Sunny Deol, Ameesha Patel, Amrish Puri  "
268,Bhagam Bhag,tt0805184,2006,6.6,"Comedy, Drama, Mystery, Thriller","Akshay Kumar, Govinda, Paresh Rawal  "
269,Mary Kom,tt3001638,2014,6.8,"Action, Biography, Drama, Sport","Priyanka Chopra Jonas, Sunil Thapa, Robin Das  "
270,Deewaar,tt0072860,1975,8.0,"Action, Crime, Drama, Thriller","Amitabh Bachchan, Shashi Kapoor, Nirupa Roy "
271,Ishq,tt0133024,1997,6.8,"Action. Comedy, Drama, Musical, Romance","Aamir Khan, Ajay Devagn, Juhi Chawla, Kajol"
272,Shivaay,tt3771536,2016,6.1,"Action, Adventure, Crime, Drama, Thriller","Ajay Devgn, Abigail Eames, Erika Kaar  "
273,Shanghai,tt0184894,2010,6.3,"Crime, Drama, Mystery, Romance, Thriller","John Cusack, Gong Li, Chow Yun-Fat  "
274,Kalank,tt6988116,2019,3.6,"Drama, Romance"," Kriti Sanon, Alia Bhatt, Kiara Advani  "
275,Waqt: The Race Against Time,tt0390614,2005,6.7,"Comedy, Drama, Family, Musical, Romance"," Amitabh Bachchan, Akshay Kumar, Priyanka Chopr...  "
276,Aitraaz,tt0418460,2004,6.6,"Drama, Romance, Thriller","Akshay Kumar, Kareena Kapoor, Priyanka Chopra ...  "
277,Luck by Chance,tt0886539,2009,7.1,Drama," Farhan Akhtar, Konkona Sen Sharma, Rishi Kapoor  "
278,Mangal Pandey,tt0346457,2005,6.5,"Biography, Drama, History, War","Aamir Khan, Rani Mukerji, Toby Stephens  "
279,The Bride of Badrinath,tt0101862,2017,6.1,"Comedy, Drama, Romance","Varun Dhawan, Alia Bhatt, Sahil Vaid"
280,Josh,tt0151150,2000,6.1,"Action, Drama, Musical, Romance","Shan Rukh Khan, Aishwarya Rai, Chandrachur Singh"
281,Shootout at Lokhandwala,tt0811066,2007,7.1,"Action, Crime, Drama, History, Thriller ","Amitabh Bachchan, Sanjay Dutt, Suniel Shetty  "
282,Taxi No. 9 2 11: Nau Do Gyarah,tt0476884,2006,7.3,"Comedy, Drama, Thriller","Nana Patekar, John Abraham, Sonali Kulkarni  "
283,Khatta Meetha,tt1455811,2010,5.9,"Comedy, Crime, Drama","Akshay Kumar, Trisha Krishnan, Kulbhushan Khar...  "
284,Ankhon Dekhi,tt3614516,2013,7.9,"Comedy, Drama","Sanjay Mishra, Seema Pahwa, Rajat Kapoor  "
285,Parineeta,tt10592082,2005,7.2,"Drama, Musical, Romance","Saif Ali Khan, Vidya Balan, Sanjay Dutt  "
286,Rangeela,tt0114234,1995,7.4,"Comedy, Drama, Musical, Romance","Aamir Khan, Urmila Matondkar, Jackie Shroff  "
287,D-Day,tt2385104,2013,7.2," Action, Thriller","Rishi Kapoor, Irrfan Khan, Arjun Rampal  "
288,Mere Brother Ki Dulhan,tt1740710,2011,5.9,"Comedy, Drama, Family, Romance","Imran Khan, Katrina Kaif, Ali Zafar  "
289,MSG 2 the Messenger,tt4921860,2015,7.1,"Action, Comedy, Drama, Fantasy, Horror","Muntazir Ahmad, Charanpreet Insan, Honeypreet ...  "
290,Dhadak,tt7638344,2018,4.6,"Drama, Romance","Janhvi Kapoor, Ishaan Khattar, Ashutosh Rana  "
